batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
VR Iyer,death,172,104,165.3846153846154,159.8607873142685,16625.521880683922,2026
WA Mota,death,23,27,85.18518518518519,148.19088021155983,4001.1537657121153,2009
WD Parnell,death,49,58,84.48275862068965,140.30978421725803,8137.967484600966,2023
WP Saha,death,557,353,157.79036827195466,157.47878723898955,55590.011895363314,2022
WPUJC Vaas,death,53,52,101.92307692307692,145.3375522549242,7557.552717256058,2010
Washington Sundar,death,326,225,144.88888888888889,150.47232239753876,33856.27253944622,2026
Y Nagar,death,179,127,140.94488188976376,150.61607269244186,19128.241231940116,2012
Y Venugopal Rao,death,382,249,153.41365461847388,154.95129596163576,38582.8726944473,2014
YBK Jaiswal,death,88,42,209.52380952380955,166.23787091546953,6981.9905784497205,2025
YK Pathan,death,1121,696,161.0632183908046,160.1553034870553,111468.0912269905,2019
YS Chahal,death,33,63,52.38095238095239,131.38905196498558,8277.510273794092,2022
Yuvraj Singh,death,894,494,180.97165991902835,174.16309928442132,86036.57104650413,2019
Z Khan,death,107,108,99.07407407407408,136.2982686698557,14720.213016344416,2017
