batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
Shahbaz Ahmed,middle,260,242,107.43801652892562,115.48004577604434,27946.17107780273,2026
Shashank Singh,middle,319,251,127.09163346613546,126.37843050253672,31720.986056136717,2026
Shubman Gill,middle,1793,1253,143.09656823623305,140.72153315202442,176324.0810394866,2026
T Stubbs,middle,314,265,118.49056603773585,121.44517392202474,32182.971089336555,2026
TH David,middle,195,157,124.20382165605095,124.89994319355505,19609.291081388143,2026
TM Head,middle,382,258,148.06201550387595,138.33284769123924,35689.87470433972,2026
Tilak Varma,middle,962,710,135.49295774647888,133.3312486233496,94665.18652257822,2026
V Kohli,middle,4086,3272,124.87775061124695,124.91052206637767,408707.22820118774,2026
V Nigam,middle,53,33,160.6060606060606,130.54728071987444,4308.060263755857,2025
V Shankar,middle,590,509,115.91355599214145,118.55792614223206,60345.98440639612,2025
V Suryavanshi,middle,129,61,211.47540983606555,145.95617189113818,8903.32648535943,2026
VR Iyer,middle,723,522,138.50574712643677,134.95785216754726,70447.99883145967,2026
WG Jacks,middle,238,168,141.66666666666669,132.9608264576622,22337.41884488725,2025
Washington Sundar,middle,239,208,114.90384615384615,120.01186105243518,24962.467098906516,2026
YBK Jaiswal,middle,773,553,139.78300180831826,136.04917112851788,75235.19163407039,2026
