batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
S Anirudha,powerplay,26,28,92.85714285714286,121.1579386064888,3392.4222809816865,2013
S Badrinath,powerplay,182,236,77.11864406779661,98.88218169198841,23336.194879309263,2013
S Chanderpaul,powerplay,25,31,80.64516129032258,119.1071695099425,3692.322254808217,2008
S Dhawan,powerplay,3399,2771,122.66329844821364,122.83149706987425,340366.07838062156,2024
S Dube,powerplay,36,45,80.0,116.7425846218625,5253.416307983813,2025
S Rana,powerplay,20,22,90.9090909090909,121.74295073385717,2678.344916144858,2014
S Sohal,powerplay,279,217,128.57142857142858,126.98597162438591,27555.95584249174,2011
S Vidyut,powerplay,103,76,135.5263157894737,128.111514056262,9736.475068275911,2008
SA Asnodkar,powerplay,278,208,133.65384615384613,129.57374766562532,26951.33951445007,2011
SA Yadav,powerplay,958,684,140.05847953216374,136.76703106854038,93548.64925088162,2026
SC Ganguly,powerplay,529,517,102.32108317214701,108.59300605231319,56142.584129045914,2012
SD Hope,powerplay,78,60,130.0,126.34596199704708,7580.757719822825,2024
SE Marsh,powerplay,771,733,105.18417462482947,109.39463395392997,80186.26668823067,2017
SK Raina,powerplay,1551,1165,133.13304721030045,131.9986914038581,153778.47548549468,2021
SK Rasheed,powerplay,69,60,114.99999999999999,122.8165502323412,7368.993013940472,2025
SM Curran,powerplay,147,129,113.95348837209302,120.7352478680463,15574.846974977972,2025
SM Katich,powerplay,145,108,134.25925925925927,128.44297131764688,13871.840902305863,2009
SN Khan,powerplay,150,99,151.5151515151515,134.07557928315308,13273.482349032154,2026
SO Hetmyer,powerplay,66,61,108.19672131147541,121.16492308299611,7391.0603080627625,2025
SP Fleming,powerplay,116,108,107.40740740740742,118.87201422193732,12838.177535969231,2008
SP Goswami,powerplay,162,165,98.18181818181819,112.82838974790835,18616.684308404878,2020
SP Narine,powerplay,1148,671,171.08792846497764,160.7600696411628,107870.00672922024,2025
SPD Smith,powerplay,506,414,122.22222222222223,123.1826277655944,50997.60789495608,2021
SR Tendulkar,powerplay,1140,977,116.68372569089047,118.10428354031315,115387.88501888595,2013
SR Watson,powerplay,1419,1257,112.88782816229117,114.54422886311777,143982.09568093903,2020
SS Iyer,powerplay,973,867,112.22606689734718,114.61226017819868,99368.82957449826,2025
SS Tiwary,powerplay,168,159,105.66037735849056,116.43565059109324,18513.268443983823,2021
ST Jayasuriya,powerplay,507,364,139.28571428571428,134.37964277146153,48914.189968811996,2010
STR Binny,powerplay,18,25,72.0,119.17372867839549,2979.3432169598873,2017
SV Samson,powerplay,1447,1150,125.82608695652173,125.73845376152192,144599.22182575022,2026
SW Billings,powerplay,125,97,128.8659793814433,126.43226133303769,12263.929349304655,2022
Salman Butt,powerplay,103,97,106.18556701030928,118.89801475769521,11533.107431496435,2008
Sameer Rizvi,powerplay,16,28,57.14285714285714,116.67363367375339,3266.861742865095,2026
Shahbaz Ahmed,powerplay,21,26,80.76923076923077,119.99194710066519,3119.7906246172947,2024
Shakib Al Hasan,powerplay,37,37,100.0,121.19922547089226,4484.371342423014,2018
Shashank Singh,powerplay,34,25,136.0,126.44645595112274,3161.1613987780684,2024
Shubman Gill,powerplay,1771,1345,131.6728624535316,130.85598721379674,176001.3028025566,2026
T Banton,powerplay,18,20,90.0,121.94521074068373,2438.9042148136746,2020
T Kohler-Cadmore,powerplay,47,51,92.15686274509804,118.36674922458133,6036.704210453648,2024
TD Paine,powerplay,10,26,38.46153846153847,115.01457153505432,2990.3788599114123,2011
TL Suman,powerplay,185,181,102.20994475138122,114.14420295012502,20660.100733972627,2013
TM Dilshan,powerplay,484,439,110.250569476082,114.85523708083123,50421.44907848491,2013
TM Head,powerplay,779,432,180.32407407407408,163.1869542412233,70496.76423220847,2026
Tanush Kotian,powerplay,18,20,90.0,121.94521074068373,2438.9042148136746,2024
Tilak Varma,powerplay,159,129,123.25581395348837,124.43895157175002,16052.624752755753,2026
UBT Chand,powerplay,120,142,84.50704225352112,108.06593563574778,15345.362860276184,2016
UT Khawaja,powerplay,107,74,144.5945945945946,130.55100486708923,9660.774360164603,2016
Urvil Patel,powerplay,42,21,200.0,132.49176069095836,2782.3269745101256,2025
V Kohli,powerplay,3225,2536,127.16876971608832,127.02974013520578,322147.42098288186,2026
V Sehwag,powerplay,1586,1096,144.7080291970803,141.76469427517196,155374.10492558847,2015
V Shankar,powerplay,127,130,97.6923076923077,114.20990864383694,14847.288123698801,2025
V Suryavanshi,powerplay,323,136,237.5,171.35413990709063,23304.163027364324,2026
VH Zol,powerplay,22,21,104.76190476190477,123.2325014316991,2587.8825300656813,2014
VR Iyer,powerplay,596,457,130.41575492341357,128.86230108780214,58890.07159712558,2025
VVS Laxman,powerplay,181,187,96.79144385026738,111.30424164724346,20813.893188034526,2011
Vishnu Vinod,powerplay,10,21,47.61904761904761,117.67694587614355,2471.2158633990143,2017
Vivrant Sharma,powerplay,27,24,112.5,123.82748999656165,2971.8597599174796,2023
W Jaffer,powerplay,77,89,86.51685393258427,113.09232503255988,10065.216927897829,2009
WG Jacks,powerplay,190,128,148.4375,134.4217347035511,17205.98204205454,2025
WP Saha,powerplay,1385,1045,132.5358851674641,131.38566153971533,137298.01630900253,2024
Washington Sundar,powerplay,39,33,118.18181818181819,124.20272065459213,4098.68978160154,2025
Y Venugopal Rao,powerplay,76,96,79.16666666666666,110.0282484853849,10562.711854596952,2014
YBK Jaiswal,powerplay,1477,934,158.1370449678801,152.45192232882815,142390.0954551255,2026
YK Pathan,powerplay,360,243,148.14814814814815,137.94114225855478,33519.69756882881,2018
YV Takawale,powerplay,121,132,91.66666666666666,111.67651470717739,14741.299941347415,2014
Yashpal Singh,powerplay,17,35,48.57142857142857,113.55747960542175,3974.511786189761,2009
Yuvraj Singh,powerplay,193,186,103.76344086021506,114.74598506364045,21342.753221837123,2018
